alpha,alpha_gen,beta,beta_gen,bic,gamma,gamma_gen,lam,lam_gen,model,nll,subject
0.6384026729104281,0.8438023626474559,0.9942873183101733,0.5912193573663221,476.3162161153349,,,,,eu,232.74200765546303,0-eu
0.9552970724010936,,0.2861431326562403,2.1575953963278645,478.48508951501395,,,,,eu,233.82644435530256,0-gaze-baseline-dyn
1.661052072254521,,0.003741714106688,6.652314601141089,504.05432635899166,,,,,eu,246.6110627772914,0-gaze-baseline-stat
0.6320339992639228,0.7694423100368518,1.2462661326615756,0.8282409557904871,463.69996764929766,,,,,eu,226.4338834224444,0-pt
0.4088743121684229,0.4022226821043201,4.880764370811619,5.220320524130496,339.10440768322735,,,,,eu,164.13610343940925,1-eu
0.3491969131183415,,1.346176516073858,0.7684205702762748,488.03855096987303,,,,,eu,238.6031750827321,1-gaze-baseline-dyn
0.6213631929734834,,0.4127488940331794,8.895561780994154,490.90192050865363,,,,,eu,240.0348598521224,1-gaze-baseline-stat
0.3725061642561802,0.402222783143851,6.475682405528257,5.220323768193317,324.2428396140328,,,,,eu,156.70531940481197,1-pt
0.0653823110048197,0.0585166580523426,16.185481058021185,15.636891988538746,359.6050978791507,,,,,eu,174.38644853737094,10-eu
0.0,,1.7025829134783974,1.4342571464305418,497.6785939938614,,,,,eu,243.42319659472628,10-gaze-baseline-dyn
0.0,,2.5761717353330456,5.904793452182461,488.76563839446646,,,,,eu,238.9667187950288,10-gaze-baseline-stat
0.0510142341663385,0.0585176413513436,14.288277581886137,15.637056112012392,362.9376508726464,,,,,eu,176.05272503411877,10-pt
0.2624966181203245,0.2827413568558333,10.532619125842777,10.753013320728677,340.5345170915435,,,,,eu,164.85115814356732,11-eu
0.3325731849603898,,1.5280016150955344,1.2808586694797828,486.4599990348195,,,,,eu,237.81389911520532,11-gaze-baseline-dyn
0.4317312430525363,,1.094927441965748,8.11208943150071,485.34291407138295,,,,,eu,237.25535663348705,11-gaze-baseline-stat
0.284667174673159,0.2827417161335148,11.026957213391007,10.752997283714455,317.4489140955398,,,,,eu,153.30835664556548,11-pt
0.2898913816117733,0.2898150278282563,15.641989972515283,13.521899404601356,320.30168921019146,,,,,eu,154.7347442028913,12-eu
0.6120207060427577,,0.5421023502145369,0.7959444286177371,497.3653330403427,,,,,eu,243.26656611796693,12-gaze-baseline-dyn
0.5450498683420275,,0.7231742977546146,5.11531961975141,496.4359973350054,,,,,eu,242.8018982652983,12-gaze-baseline-stat
0.2893330575697528,0.2898591299510095,13.51260521796333,13.496066054422936,341.7574920349807,,,,,eu,165.46264561528594,12-pt
0.8397844846037738,0.8317184464564858,2.862268923969739,2.7298540109079523,366.8834502276638,,,,,eu,178.02562471162747,13-eu
0.8421227149531236,,1.903218827857672,1.1507883760458113,428.2022265741986,,,,,eu,208.6850128848949,13-gaze-baseline-dyn
0.8656566490639557,,0.6025613740573855,8.83982466197098,494.5189177869183,,,,,eu,241.84335849125472,13-gaze-baseline-stat
0.7821088110633947,0.7880774048122124,2.553055249773244,3.37435060358351,406.7435564830766,,,,,eu,197.95567783933387,13-pt
0.9314626440976638,0.873709833052336,0.6255702404210631,0.5680517862063825,464.6594483999812,,,,,eu,226.9136237977862,14-eu
0.0,,0.2206023815728318,1.2371747197000509,505.07619699681277,,,,,eu,247.12199809620196,14-gaze-baseline-dyn
1.69954351727984,,0.0046816394929734,4.839539285554218,503.6812593863325,,,,,eu,246.42452929096183,14-gaze-baseline-stat
0.7886011785639377,0.4397550624252631,0.6486179089292542,12.555762869232613,488.7941760918968,,,,,eu,238.980987643744,14-pt
0.2380880743087552,0.2453352784162489,9.983711206989764,8.500983274219447,395.7812081163714,,,,,eu,192.47450365598127,15-eu
0.3707106027007318,,1.409899114570672,1.2981952621179538,485.0904444058741,,,,,eu,237.12912180073263,15-gaze-baseline-dyn
0.3334223553610134,,1.0229952699376503,5.839472097006648,496.88221625474154,,,,,eu,243.02500772516635,15-gaze-baseline-stat
